cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,PromedioDeRadiacion,SumaDeLluvia,V_Max,V_Med,V_Min,SumaDeCV1,SumaDeCV2,SumaDeCV3,SumaDeCV4,PromedioDeDireccion
AL001,2019-01-01T00:00:00,18.03,8.88004166666667,2.37,94.9,69.7566666666667,29.35,0.39908565,0,16.2,3.02175,0,389,509,542,0,2.16666666666667
AL001,2019-01-02T00:00:00,15.94,8.19629166666667,1.488,96.2,83.5625,65.16,0.38949795,0,18,3.448,0,129,861,438,9,2.29166666666667
AL001,2019-01-03T00:00:00,16.55,10.8374166666667,6.04,92.7,74.9066666666667,55.78,0.33614955,0,20.7,6.00025,0,812,628,0,0,1.375
AL001,2019-01-04T00:00:00,16.65,8.234125,3.135,95.4,81.6075,51.56,0.37660815,0,11.7,1.95075,0,861,481,95,2,1.45833333333333
AL001,2019-01-05T00:00:00,15.23,7.44791666666666,1.825,93.1,80.8216666666667,51.06,0.40392225,0,17.55,3.65204166666667,0,829,87,516,7,1.79166666666667
AL001,2019-01-06T00:00:00,16.25,6.82033333333333,-0.804,94.5,81.6891666666667,55.64,0.40885305,0,17.1,2.913875,0,398,442,597,2,2.125
AL001,2019-01-07T00:00:00,17.06,7.88633333333333,0.547,92,70.7554166666667,33.13,0.4013883,0,12.15,2.04841666666667,0,594,502,342,3,1.83333333333333
AL001,2019-01-08T00:00:00,16.99,10.284,4.452,92.8,74.0695833333333,45.89,0.39606225,0,17.1,4.05120833333333,0,512,337,571,20,2.125
AL001,2019-01-09T00:00:00,15.33,7.577875,0.846,96.5,86.4895833333333,65.93,0.4025367,0,18.9,3.39629166666667,0,295,429,708,7,2.29166666666667
AL001,2019-01-10T00:00:00,14.22,7.35320833333333,1.892,96.2,72.7429166666667,31.21,0.41433975,0.2,24.75,5.156125,0,630,802,7,1,1.58333333333333
AL001,2019-01-11T00:00:00,13.82,6.71408333333333,1.291,78.13,60.80125,25.95,0.41414625,0,11.7,2.00483333333333,0,716,651,72,0,1.5
AL001,2019-01-12T00:00:00,15.77,6.79370833333333,1.358,88,70.61,39.08,0.4155705,0,15.75,2.89070833333333,0,867,144,416,12,1.625
AL001,2019-01-13T00:00:00,14.83,6.42470833333333,-0.934,94.1,83.0654166666667,61.14,0.4267635,0,22.5,4.16,0,723,71,625,18,1.91666666666667
AL001,2019-01-14T00:00:00,16.11,7.17783333333333,-0.399,96.5,84.4141666666667,63.62,0.41584755,0,19.8,3.5935,0,709,207,519,2,1.91666666666667
AL001,2019-01-15T00:00:00,16.62,10.8724166666667,5.702,92.5,71.56875,45.97,0.4091628,0,17.55,5.19070833333333,0,676,763,0,0,1.66666666666667
AL001,2019-01-16T00:00:00,15.3,9.36825,3.844,96,84.6358333333334,61.83,0.33068385,0,20.7,4.00554166666667,0,198,475,750,16,2.41666666666667
AL001,2019-01-17T00:00:00,14.93,8.36566666666667,2.022,96.7,83.0741666666667,50.9,0.3847914,0,21.15,3.40604166666667,0,364,404,660,11,2.25
AL001,2019-01-18T00:00:00,15.6,10.1139583333333,4.418,91.1,73.2391666666667,44.05,0.3694866,0,17.55,3.11854166666667,0,461,224,745,9,2.25
AL001,2019-01-19T00:00:00,16.14,10.9394166666667,5.06,86.4,70.3754166666667,48.87,0.3746529,0,22.05,3.43875,0,346,196,759,139,2.54166666666667
AL001,2019-01-20T00:00:00,16.31,11.0118333333333,6.471,96.6,74.8825,46.49,0.18073215,0.3,17.55,2.85770833333333,0,417,154,778,87,2.125
AL001,2019-01-21T00:00:00,16.48,9.96154166666667,3.749,80.6,56.7595833333333,26.6,0.37012395,0,20.25,3.17791666666667,0,538,267,546,59,2.04166666666667
AL001,2019-01-22T00:00:00,14.25,8.59854166666667,1.291,73.18,54.5891666666667,35.37,0.2716356,0,30.15,3.62416666666667,0,481,255,651,51,2
AL001,2019-01-23T00:00:00,20.16,15.8045833333333,12.8,50.86,40.6741666666667,31.81,0.4586853,0,34.65,11.4586666666667,0.9,230,33,615,546,3.41666666666667
AL001,2019-01-24T00:00:00,22.31,16.6775,11.69,77.36,50.5083333333333,28.86,0.39703845,0,27.45,5.82091666666667,0,394,218,557,264,2.33333333333333
AL001,2019-01-25T00:00:00,21.68,13.2985833333333,7.243,98.1,72.0145833333333,39.39,0.4762482,0,18,3.895875,0,496,254,636,53,2.08333333333333
AL001,2019-01-26T00:00:00,19.04,9.86291666666667,1.479,99.8,77.77,37.45,0.4897371,0,19.8,5.239625,0,473,230,725,11,2.25
AL001,2019-01-27T00:00:00,19.15,10.1155416666667,2.044,99.4,69.7595833333333,31.32,0.50206725,0,22.05,5.13666666666667,0,344,213,769,106,2.45833333333333
AL001,2019-01-28T00:00:00,17.29,12.122,5.432,79.96,59.3195833333333,42.65,0.5047494,0,27.45,4.89291666666667,0,412,244,709,76,2.20833333333333
AL001,2019-01-29T00:00:00,17.97,12.7630833333333,6.04,77.2,56.8658333333333,40.98,0.3773238,0,28.8,4.46879166666667,0,489,398,382,170,2.08333333333333
AL001,2019-01-30T00:00:00,19.08,15.5254166666667,12.53,74.83,47.3258333333333,24.63,0.3282054,0,27,6.353125,0,319,117,797,195,2.58333333333333
