cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,PromedioDeRadiacion,SumaDeLluvia,V_Max,V_Med,V_Min,SumaDeCV1,SumaDeCV2,SumaDeCV3,SumaDeCV4,PromedioDeDireccion
AL001,2019-01-31T00:00:00,17.29,13.7816666666667,11.56,86.3,78.9620833333334,68.6,0.33267825,0,37.35,12.7569583333333,0,24,0,1300,114,3
AL001,2019-02-01T00:00:00,16.18,12.7516666666667,9.17,93.7,73.4354166666667,38.97,0.31971255,2.4,54.45,20.1850416666667,0,0,2,1259,175,3
AL001,2019-02-02T00:00:00,16.55,12.4141666666667,9.17,50.64,35.2420833333333,23.98,0.469254,0,36.9,9.71408333333333,0,158,9,748,514,3.04166666666667
AL001,2019-02-03T00:00:00,16.31,10.998375,4.825,60.06,33.6858333333333,14.94,0.550218,0,22.95,5.609875,0,283,136,507,509,2.875
AL001,2019-02-04T00:00:00,15.23,8.3955,2.034,84.3,53.2825,32.3,0.583872,0,20.7,4.52266666666667,0,412,365,613,3,2.16666666666667
AL001,2019-02-05T00:00:00,16.99,9.198375,2.436,87.9,68.45875,36.73,0.57957,0,18,3.93170833333333,0,299,448,691,0,2.29166666666667
AL001,2019-02-06T00:00:00,18.71,10.646125,3.75,91.5,63.8458333333333,25.41,0.575013,0,19.8,4.088,0,376,220,844,0,2.33333333333333
AL001,2019-02-07T00:00:00,17.39,10.68475,3.818,99,81.3616666666667,63.03,0.4864686,0,17.1,3.58925,0,42,441,932,25,2.625
AL001,2019-02-08T00:00:00,19.95,12.1392916666667,5.195,100,83.9116666666667,49.29,0.57476445,0.1,17.55,4.15095833333333,0,372,415,573,78,2.29166666666667
AL001,2019-02-09T00:00:00,16.82,12.3995833333333,8.73,97.1,86.38875,64.98,0.56215005,0,20.25,4.681,0,81,19,896,441,3.375
AL001,2019-02-10T00:00:00,17.53,11.3117083333333,5.128,100,83.67,60.59,0.5888994,0.1,25.65,5.360125,0,210,51,763,413,2.95833333333333
AL001,2019-02-11T00:00:00,20.43,13.619625,7.525,89,67.26375,38.94,0.56448255,0,18,3.12829166666667,0,613,492,321,16,1.83333333333333
AL001,2019-02-12T00:00:00,16.25,13.61375,10.15,86.1,69.7108333333333,48.43,0.44130045,0,21.6,7.52458333333333,0,779,658,0,0,1.41666666666667
AL001,2019-02-13T00:00:00,16.18,11.9420833333333,7.855,89.3,71.1370833333333,50.46,0.6076512,0,23.85,8.98825,0,940,497,0,0,1.375
AL001,2019-02-14T00:00:00,16.55,12.53625,9.21,78.96,65.8170833333333,49.08,0.62901525,0,24.3,9.41325,0.9,973,464,0,0,1.25
AL001,2019-02-15T00:00:00,16.62,12.0764166666667,6.884,86.7,73.1154166666667,55.54,0.52553925,0,23.4,8.184625,0,888,549,0,1,1.375
AL001,2019-02-16T00:00:00,17.49,13.0041666666667,10.83,76.52,66.42625,50.89,0.5690703,0,30.15,12.6970833333333,2.7,1099,336,0,1,1.25
AL001,2019-02-17T00:00:00,17.36,13.055,10.56,85.2,66.0491666666667,50.27,0.5742999,0,23.85,9.828875,1.35,888,550,0,0,1.29166666666667
AL001,2019-02-18T00:00:00,18.27,13.30625,10.08,84.2,65.9,44.93,0.5311227,0,27.9,8.963875,0.9,989,451,0,0,1.25
AL001,2019-02-19T00:00:00,16.31,12.7245833333333,8.73,79.48,64.7245833333333,44.96,0.5621292,0,21.15,7.96475,0,662,777,0,0,1.625
AL001,2019-02-20T00:00:00,16.65,12.1458333333333,7.726,84.8,72.2033333333333,51.83,0.60118065,0,15.75,5.07045833333333,0,704,730,6,0,1.5
AL001,2019-02-21T00:00:00,16.41,11.3320416666667,6.715,93.6,75.2708333333333,53.04,0.62016255,0,19.35,5.53816666666667,0,277,1164,1,0,1.95833333333333
AL001,2019-02-22T00:00:00,18.4,11.0379166666667,4.626,92.2,76.845,45.81,0.6822006,0,18.45,3.631,0,674,136,619,13,1.95833333333333
AL001,2019-02-23T00:00:00,18.54,11.2842916666667,3.787,100,80.8379166666667,54.52,0.67980285,0,18.9,4.43495833333333,0,595,106,736,1,2.125
AL001,2019-02-24T00:00:00,17.77,12.8952083333333,7.317,100,71.6204166666667,48.16,0.67908015,0.1,27.45,7.847125,0,729,705,1,0,1.54166666666667
AL001,2019-02-25T00:00:00,18.95,12.3740416666667,7.693,93.1,69.4991666666667,24.26,0.70599585,0,18,5.66625,0,334,1105,3,0,1.875
AL001,2019-02-26T00:00:00,19.45,11.5004166666667,4.22,88.4,62.38875,31.03,0.7002981,0,18.45,2.84620833333333,0,607,475,340,18,1.83333333333333
AL001,2019-02-27T00:00:00,17.8,11.018875,4.359,87.8,63.5516666666667,34.67,0.71084865,0,21.15,4.50920833333333,0,470,155,801,13,2.25
AL001,2019-02-28T00:00:00,18.91,11.8019166666667,4.055,97.2,80.47125,59.17,0.72981825,0,21.6,5.25141666666667,0,579,38,804,19,2.16666666666667
AL001,2019-03-01T00:00:00,18.71,13.9583333333333,9.98,100,87.80125,63.82,0.63032895,0,22.95,5.413,0,255,85,995,103,2.66666666666667
AL001,2019-03-02T00:00:00,22.85,15.1091666666667,8.94,100,72.7904166666667,28.45,0.62685615,0,15.3,2.664,0,574,427,382,58,2
AL001,2019-03-03T00:00:00,22.11,14.2358333333333,8.09,100,69.0645833333333,32.43,0.7284438,0,16.65,4.072625,0,487,130,818,5,2.20833333333333
AL001,2019-03-04T00:00:00,19.45,13.4070833333333,8.47,100,87.6741666666667,64.32,0.6562806,0.1,21.6,5.10691666666667,0,201,157,888,188,2.70833333333333
AL001,2019-03-05T00:00:00,20.77,14.64875,8.43,97,79.8408333333333,56.62,0.6231096,0,21.6,5.12845833333333,0,388,226,747,78,2.33333333333333
AL001,2019-03-06T00:00:00,20.7,15.9191666666667,12.64,98.5,78.87625,46.44,0.4973025,0,43.65,11.5227083333333,0,1,15,1173,250,3.125
AL001,2019-03-07T00:00:00,18.78,14.0179166666667,9.07,82,63.1054166666667,35.6,0.68752065,0,21.15,4.802375,0,371,350,661,55,2.25
AL001,2019-03-08T00:00:00,20.62,13.19725,6.546,80.3,54.8104166666667,24.22,0.74603925,0,18,3.57183333333333,0,580,448,369,42,1.83333333333333
AL001,2019-03-09T00:00:00,20.5,13.9391666666667,8.16,77.47,50.5520833333333,19.73,0.7816302,0,18.9,3.92745833333333,0,790,450,192,7,1.66666666666667
AL001,2019-03-10T00:00:00,19.35,12.9727083333333,5.77,91.6,70.0204166666667,49.37,0.77700675,0,22.5,5.19775,0,553,52,818,18,2.20833333333333
AL001,2019-03-11T00:00:00,22.52,14.5775,7.825,98.3,76.4320833333333,38.64,0.7589136,0.1,24.3,6.016625,0,212,930,268,29,2.16666666666667
AL001,2019-03-12T00:00:00,20.87,14.7225,8.6,94.9,71.4520833333333,33.6,0.7912395,0,22.5,6.15516666666667,0,513,117,798,13,2.25
AL001,2019-03-13T00:00:00,25.21,16.5375,11.1,96.6,73.5366666666667,36.97,0.7676643,0,18.9,5.14354166666667,0,346,551,485,56,2.16666666666667
AL001,2019-03-14T00:00:00,20.76,14.405,8.3,91.3,59.9929166666667,28.18,0.81095535,0,22.95,3.53820833333333,0,435,565,429,7,2.04166666666667
AL001,2019-03-15T00:00:00,23.46,14.92125,6.377,81.8,54.2079166666667,22.58,0.8305428,0,19.35,4.35429166666667,0,459,323,653,8,2.08333333333333
AL001,2019-03-16T00:00:00,25.6,16.0305416666667,7.255,79.25,45.9533333333333,16.74,0.84411675,0,19.35,4.1455,0,539,320,565,15,2.04166666666667
AL001,2019-03-17T00:00:00,22.24,15.1990416666667,6.816,83.5,62.4566666666666,40.26,0.84484785,0,19.8,3.794375,0,485,295,657,5,2.125
AL001,2019-03-18T00:00:00,18.58,15.41625,12.88,77.58,60.4975,29.88,0.6214134,0,27.9,9.2165,0,609,751,55,24,1.79166666666667
AL001,2019-03-19T00:00:00,17.26,13.8883333333333,10.19,82.6,74.1583333333333,60.47,0.40135365,0.6,18.45,4.22158333333333,0,448,719,270,1,1.91666666666667
AL001,2019-03-20T00:00:00,16.52,12.4158333333333,7.859,78.03,58.9395833333333,41.76,0.78110295,0,24.75,9.23225,0,831,609,0,0,1.45833333333333
AL001,2019-03-21T00:00:00,17.09,13.1283333333333,8.67,68.14,49.4620833333333,33.41,0.8310087,0,25.65,10.30875,0,763,675,0,0,1.5
AL001,2019-03-22T00:00:00,18.4,13.5908333333333,8.67,67.13,53.4216666666667,36.2,0.86811525,0,20.25,7.239125,0,614,822,2,0,1.625
AL001,2019-03-23T00:00:00,17.83,13.4575,9.24,77.77,68.9641666666667,57.52,0.55237545,0.1,26.1,8.60895833333333,0,945,486,0,5,1.29166666666667
AL001,2019-03-24T00:00:00,18.95,15.5758333333333,13.14,70.86,57.3979166666667,41.73,0.4143825,0,27,11.9228333333333,1.8,874,565,0,0,1.41666666666667
AL001,2019-03-25T00:00:00,22.51,17.2591666666667,13.14,53.52,42.2929166666667,31.9,0.92271615,0,26.1,9.883625,0,770,669,0,0,1.54166666666667
AL001,2019-03-26T00:00:00,20.36,15.9954166666667,12.97,61.33,45.34875,27.59,0.82216155,0,37.35,14.7287083333333,2.25,864,570,0,3,1.45833333333333
AL001,2019-03-27T00:00:00,17.39,14.0125,11.37,64.73,51.7391666666667,35.73,0.97513005,0,34.2,16.4957916666667,2.7,911,523,0,2,1.41666666666667
AL001,2019-03-28T00:00:00,17.8,14.0758333333333,10.62,71.53,47.8920833333333,27.95,0.98107095,0,26.55,11.3083333333333,1.35,910,529,0,0,1.41666666666667
AL001,2019-03-29T00:00:00,18.24,14.0525,11.43,69,59.3975,46.97,0.789381,0,28.8,14.630375,2.7,1045,392,0,0,1.29166666666667
AL001,2019-03-30T00:00:00,17.16,14.11,11.33,88,65.8633333333333,52.08,0.8874249,0.7,31.05,12.60975,2.25,959,477,0,0,1.375
AL001,2019-03-31T00:00:00,15.6,13.5145833333333,11.33,99.3,82.4525,70.7,0.28764945,5.8,27.9,9.04370833333333,0,1027,153,196,58,1.375
AL001,2019-04-01T00:00:00,18.64,15.195,12.8,100,87.9025,69.19,0.74484375,0.3,24.3,5.88766666666667,0,0,180,1028,231,3.08333333333333
AL001,2019-04-02T00:00:00,20.46,15.1891666666667,8.63,97.2,77.9104166666667,54.24,0.918699,0,23.4,5.54166666666667,0,51,556,820,15,2.54166666666667
AL001,2019-04-03T00:00:00,19.79,15.7729166666667,12.06,99,82.4325,64.09,0.95045985,0,31.5,7.474625,0,0,15,1214,155,3.08333333333333
AL001,2019-04-04T00:00:00,17.7,14.0758333333333,10.12,99.3,77.1529166666667,52.75,0.5530434,0,19.35,5.45625,0,350,754,275,62,2.08333333333333
AL001,2019-04-05T00:00:00,16.18,12.1879166666667,7.997,91.2,77.0320833333333,50.55,0.52073715,2.4,36,9.41383333333333,0,32,94,1173,137,2.875
AL001,2019-04-06T00:00:00,16.85,11.7507083333333,6.31,88,66.9191666666666,38.4,0.92784615,2.5,38.7,8.99879166666667,0,204,85,1044,109,2.75
AL001,2019-04-07T00:00:00,20.06,14.4570833333333,7.755,81.6,59.1216666666667,32.04,1.0159959,0,32.4,8.10908333333333,0,10,70,1253,108,3
AL001,2019-04-08T00:00:00,20.5,15.77375,10.32,92,75.5025,56.51,1.03743105,0,35.1,9.71083333333334,0,36,47,1211,147,3
AL001,2019-04-09T00:00:00,20.36,15.89875,11.67,93.5,67.0679166666667,36.62,1.0558584,0,34.2,10.211,0,89,105,1158,88,2.875
AL001,2019-04-10T00:00:00,20.5,16.205,10.73,78.53,51.72875,35.19,1.0255098,0,32.85,7.39295833333334,0,268,221,861,82,2.5
AL001,2019-04-11T00:00:00,20.76,16.7020833333333,11.81,87.1,48.84125,27.99,1.11310605,0.1,28.35,6.70145833333333,0,219,228,880,107,2.66666666666667
AL001,2019-04-12T00:00:00,21.04,15.9220833333333,9.68,89.5,53.5875,28.34,1.08188355,0,26.1,6.63716666666667,0,394,172,815,52,2.33333333333333
AL001,2019-04-13T00:00:00,22.62,16.2266666666667,8.23,86,57.61125,27.53,1.0896519,0,23.85,6.74829166666667,0,283,272,864,22,2.41666666666667
AL001,2019-04-14T00:00:00,23.87,17.00375,8.94,93.3,68.8283333333333,36.41,1.0741356,0,21.6,6.473875,0,201,371,850,14,2.5
AL001,2019-04-15T00:00:00,26.15,19.00375,11.66,100,60.7883333333334,21.65,0.9075915,0,20.7,5.08954166666667,0,249,123,878,190,2.625
AL001,2019-04-16T00:00:00,24.73,17.7929166666667,10.96,91.9,65.4625,28.12,1.03841265,0,19.8,5.02504166666667,0,528,838,68,2,1.70833333333333
AL001,2019-04-17T00:00:00,22.45,17.8120833333333,14.52,82.8,66.3183333333333,48.02,0.92415405,0,28.8,10.8397916666667,0,701,604,107,25,1.5
AL001,2019-04-18T00:00:00,17.33,14.94875,13.21,96,88.1816666666667,75.16,0.27471,5.6,24.75,5.82,0,39,193,1131,75,2.95833333333333
AL001,2019-04-19T00:00:00,17.56,14.0129166666667,11.71,95.7,85.49125,64.93,0.411393,4.2,13.05,2.25770833333333,0,392,428,536,81,2.16666666666667
AL001,2019-04-20T00:00:00,21.03,14.4208333333333,11.77,99.5,86.5833333333334,49.13,0.568239,18,24.75,4.4025,0,486,459,453,39,2.08333333333333
AL001,2019-04-21T00:00:00,18.2,15.0254166666667,13.41,95.8,77.0858333333333,54.77,0.20705475,1,25.65,6.95816666666667,0,806,230,403,1,1.70833333333333
AL001,2019-04-22T00:00:00,21.03,15.9958333333333,12.1,98.1,79.6620833333333,45.26,0.68019945,0,19.35,4.52125,0,312,81,1023,22,2.54166666666667
AL001,2019-04-23T00:00:00,19.01,15.34625,13.18,96.8,76.2066666666667,57.56,0.53628795,3.4,35.55,11.875,0,0,8,1215,211,3.04166666666667
AL001,2019-04-24T00:00:00,18.1,14.7654166666667,9.04,75.67,65.9341666666667,57.18,1.1034315,0,39.6,11.8185416666667,0,4,1,1215,217,3
AL001,2019-04-25T00:00:00,20.06,16.9083333333333,14.25,90.9,75.1345833333333,58.5,1.02262365,0,39.15,15.1094583333333,0,0,15,1317,106,3
AL001,2019-04-26T00:00:00,22.11,16.2716666666667,9.44,94.4,64.3275,35.31,1.1472105,0,19.35,4.46433333333333,0,386,515,527,12,2.08333333333333
AL001,2019-04-27T00:00:00,23.73,17.1579166666667,10.76,78.72,52.8741666666667,27.56,1.166055,0,18.9,5.36191666666667,0,600,744,27,70,1.83333333333333
AL001,2019-04-28T00:00:00,23.56,18.1120833333333,11.74,69.44,40.9704166666667,21.02,1.1734455,0,25.2,10.7815833333333,0,199,1240,0,0,1.95833333333333
AL001,2019-04-29T00:00:00,22.48,17.5666666666667,12.55,83.4,50.8841666666667,27.87,0.9380616,0,21.15,7.41095833333333,0,534,905,0,0,1.66666666666667
AL001,2019-04-30T00:00:00,22.48,17.1804166666667,11.47,86.9,71.01375,52.04,1.143402,0,19.8,5.245875,0,576,365,478,22,1.95833333333333
AL001,2019-05-01T00:00:00,23.59,18.3816666666667,13.41,88.9,58.3625,31.02,1.1478675,0,21.6,9.83854166666667,0,169,1273,0,0,2
AL001,2019-05-02T00:00:00,24.17,19.7395833333333,15.37,64.57,38.2654166666667,22.78,0.561009,0,27.9,10.180875,0.45,863,575,0,1,1.375
AL001,2019-05-03T00:00:00,22.48,17.8083333333333,13.04,90.5,57.67625,40.88,1.05580155,0.7,23.85,7.47595833333334,0,354,420,630,34,2.25
AL001,2019-05-04T00:00:00,20.73,17.285,15.13,93.1,77.6695833333333,58.87,0.6289497,0.1,23.4,7.73379166666667,0,221,379,786,49,2.45833333333333
AL001,2019-05-05T00:00:00,24.94,18.64125,12.81,95.5,75.5783333333333,41.61,1.15739175,0,19.8,4.96395833333333,0,62,247,1062,68,2.79166666666667
AL001,2019-05-06T00:00:00,25.11,19.0454166666667,15.33,94,78.18625,53.32,1.04235855,0,18.9,5.170625,0,330,243,740,126,2.45833333333333
AL001,2019-05-07T00:00:00,22.99,19.18875,16.89,90.8,78.7554166666667,62.95,1.0726308,0,19.35,6.39666666666667,0,221,269,888,60,2.54166666666667
AL001,2019-05-08T00:00:00,25.05,20.0458333333333,16.65,92,76.6783333333333,53.08,1.0341819,0,30.6,9.81908333333333,0,0,28,1338,74,3
AL001,2019-05-09T00:00:00,25.6,20.65,16.35,92.1,74.7629166666667,55.39,1.160523,0,17.55,3.22091666666667,0,6,344,1017,70,2.83333333333333
AL001,2019-05-10T00:00:00,30.02,22.3120833333333,15.78,92.6,68.0308333333333,36.61,1.18033905,0,16.2,2.95420833333333,0,344,288,639,164,2.45833333333333
AL001,2019-05-11T00:00:00,32.41,23.7708333333333,16.14,93.1,57.33875,24.23,1.1882391,0,19.8,4.62975,0,357,841,216,25,1.91666666666667
AL001,2019-05-12T00:00:00,24.57,21.3229166666667,16.65,68.99,50.9579166666666,36.39,1.1786238,0,23.85,10.502125,0,608,825,0,0,1.625
AL001,2019-05-13T00:00:00,23.39,18.8858333333333,13.62,72.69,58.0791666666667,43.88,1.2079893,0,25.2,8.11254166666667,0,492,944,0,0,1.70833333333333
AL001,2019-05-14T00:00:00,25.08,19.6341666666667,14.42,75.94,50.3325,24.35,1.23081675,0,18.9,5.978125,0,612,812,12,0,1.625
AL001,2019-05-15T00:00:00,25.18,19.5529166666667,12.55,81,60.8604166666667,30.82,1.17130455,0,19.35,4.88866666666667,0,73,599,646,121,2.54166666666667
AL001,2019-05-16T00:00:00,26.45,20.58375,17.02,88.3,65.7208333333333,34.01,1.17987675,0,18.9,7.66379166666667,0,334,556,448,100,2.125
AL001,2019-05-17T00:00:00,23.32,19.65,15.64,95.5,64.1741666666667,34.55,0.7840014,0,24.3,5.83620833333333,0,89,202,1113,35,2.875
AL001,2019-05-18T00:00:00,24.2,18.9170833333333,12.84,85.2,57.4120833333333,32.99,1.22707785,0,27,6.13054166666667,0,189,365,807,82,2.54166666666667
AL001,2019-05-19T00:00:00,24.27,18.9329166666667,15.07,91.1,62.3829166666667,25.25,1.14422865,0,27.45,5.742875,0,267,224,882,67,2.5
AL001,2019-05-20T00:00:00,26.01,20.2670833333333,13.99,83.3,58.48125,32.66,1.25215755,0,21.15,5.52329166666667,0,336,379,688,38,2.20833333333333
AL001,2019-05-21T00:00:00,25.18,20.2908333333333,16.25,88.1,69.70375,48.14,1.07897775,0,18,4.99583333333333,0,362,872,189,16,1.95833333333333
AL001,2019-05-22T00:00:00,27.79,21.255,14.69,89.1,55.5425,24.37,1.22958345,0,15.3,4.48595833333333,0,474,918,45,2,1.75
AL001,2019-05-23T00:00:00,31.13,22.97125,14.32,78.77,39.3720833333333,17.2,1.23747735,0,18.9,5.41345833333333,0,456,383,576,27,2.125
AL001,2019-05-24T00:00:00,26.29,20.5279166666667,15.74,88.7,65.925,45.21,0.782835,0,25.2,7.70304166666667,0,377,390,662,9,2.25
AL001,2019-05-25T00:00:00,25.25,20.0766666666667,14.39,85.5,50.875,27.98,1.0351836,0,22.5,7.27729166666667,0,403,225,770,38,2.29166666666667
AL001,2019-05-26T00:00:00,24.57,19.7441666666667,14.12,90.5,69.2033333333333,48.62,1.22776695,0,24.3,6.47483333333333,0,115,381,916,27,2.625
AL001,2019-05-27T00:00:00,25.42,20.5808333333333,15.06,96.3,66.1466666666667,35.59,1.2301254,0,25.2,7.41108333333333,0,226,133,1051,31,2.58333333333333
AL001,2019-05-28T00:00:00,28.33,22.2545833333333,16.25,86.7,62.6016666666667,38.8,1.18185165,0,17.1,5.86291666666667,0,381,807,250,0,2.04166666666667
AL001,2019-05-29T00:00:00,23.83,21.0129166666667,17.9,79.97,56.3358333333333,39.38,1.23599595,0,25.2,11.216,1.8,630,807,0,0,1.70833333333333
AL001,2019-05-30T00:00:00,23.76,20.1945833333333,16.38,72.92,54.6025,35.32,1.26933855,0,25.65,10.5317916666667,0,812,625,0,0,1.5
AL001,2019-05-31T00:00:00,25.32,20.9291666666667,16.55,73.08,52.1375,30.99,1.2758394,0,27,12.2724166666667,1.8,457,982,0,0,1.83333333333333
AL001,2019-06-01T00:00:00,26.53,22.1104166666667,16.25,76.98,38.38,20.14,1.29182835,0,27.9,11.928,0,525,914,0,0,1.79166666666667
AL001,2019-06-02T00:00:00,27.93,22.1966666666667,14.83,61.69,35.2266666666667,16.02,1.2999099,0,22.95,6.609125,0,478,960,2,0,1.79166666666667
AL001,2019-06-03T00:00:00,28.67,21.58625,13.48,65.55,50.2270833333333,21.83,1.14828075,0,19.35,4.98083333333333,0,427,264,737,10,2.125
AL001,2019-06-04T00:00:00,26.53,20.8891666666667,14.49,88.9,64.2433333333334,38.58,1.2699855,0,26.55,8.594375,0,303,161,946,29,2.5
AL001,2019-06-05T00:00:00,25.99,21.2854166666667,17.46,91.9,64.57375,30.43,1.1852766,0,36.45,10.9380833333333,0,4,11,1302,119,3
AL001,2019-06-06T00:00:00,27.05,21.0229166666667,13.99,89.8,54.19125,21.77,1.2665382,0,24.3,7.41075,0,276,245,884,37,2.45833333333333
AL001,2019-06-07T00:00:00,25.75,20.62125,15.77,85.9,68.9445833333333,50.08,1.22540925,0,23.4,6.74320833333333,0,58,146,1145,91,3
AL001,2019-06-08T00:00:00,26.93,21.8779166666667,17.09,83.3,62.7458333333333,29.27,1.22147385,0,29.7,11.4139166666667,0,352,998,73,16,1.875
AL001,2019-06-09T00:00:00,24.13,20.8525,17.16,83.4,72.9120833333333,62.74,1.085241,0,30.6,8.81120833333333,0,219,233,954,33,2.54166666666667
AL001,2019-06-10T00:00:00,29.68,21.785,15.34,88.7,62.88625,25.69,1.2494247,0,22.05,6.82145833333333,0,189,305,940,5,2.58333333333333
AL001,2019-06-11T00:00:00,25.96,20.5141666666667,15.06,89.9,69.6433333333333,43.73,1.2541254,0,28.35,8.276625,0,161,406,858,14,2.54166666666667
AL001,2019-06-12T00:00:00,23.26,20.7508333333333,18.41,81.5,64.6054166666667,48.37,1.2325812,0,25.2,12.3287916666667,1.35,400,1038,0,0,1.91666666666667
AL001,2019-06-13T00:00:00,26.28,22.1454166666667,19.28,75.65,63.1108333333333,46.82,1.19242095,0,27.9,11.437375,0,748,652,25,10,1.58333333333333
AL001,2019-06-14T00:00:00,25.01,21.00125,17.73,92.7,67.2120833333334,38.01,1.24370775,0.6,35.55,13.6085833333333,0,0,11,1314,110,3
AL001,2019-06-15T00:00:00,25.14,20.5833333333333,14.49,92.5,64.96875,41.56,1.27950135,0,22.05,6.08029166666667,0,351,100,961,26,2.45833333333333
AL001,2019-06-16T00:00:00,26.82,21.9675,16.38,90.3,58.8391666666667,28.13,0.87232515,0,26.1,8.92483333333333,0,482,778,178,1,1.79166666666667
