COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MAX,T_S_MED,T_S_MIN
AL001,2012-01-01T00:00:00,16.95,9.812252,3.587,97.5,86.64709,60.92,10.25716,0,0,17.1,2.833626,0,572,57,620,70,3,24,24,24,24,24,0,24,24,1,0,571,0,0,,,
AL001,2012-01-02T00:00:00,19.38,12.47058,7.024,100,82.6475,47.75,10.26546,0.1,0,15.3,2.337958,0,626,343,312,89,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-03T00:00:00,17.32,10.40417,4.396,96,77.65585,49.52,10.405,0,0,14.85,3.245833,0,695,117,592,35,1,24,24,24,24,24,0,24,24,1,0,494,0,0,,,
AL001,2012-01-04T00:00:00,18.23,9.490458,3.619,99.2,87.73708,59.1,10.49547,0.1,0,13.5,1.928333,0,798,133,403,92,1,24,24,24,24,24,0,24,24,1,0,595,0,0,,,
AL001,2012-01-05T00:00:00,17.12,9.648499,2.377,99.8,86.34458,59.67,10.90048,0.2,0,18.9,3.512583,0,513,176,611,139,3,24,24,24,24,24,0,24,24,1,0,535,0,0,,,
AL001,2012-01-06T00:00:00,21,12.36734,5.203,100,71.70542,23.24,10.40004,0.1,0,12.6,2.673959,0,661,125,451,178,1,24,24,24,24,24,0,24,24,1,0,200,0,0,,,
AL001,2012-01-07T00:00:00,17.62,11.59875,7.062,95,82.24918,61.94,10.39801,0,0,15.75,2.915792,0,802,511,77,42,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-08T00:00:00,16.34,10.15209,5.881,98.3,83.21041,56.1,11.09908,0.1,0,17.55,3.049751,0,829,608,5,0,1,24,24,24,24,24,0,24,24,1,0,454,0,0,,,
AL001,2012-01-09T00:00:00,15.67,9.085792,3.322,96,82.71917,60.73,10.8695,0,0,22.5,4.571042,0,896,502,14,25,1,24,24,24,24,24,0,24,24,1,0,583,0,0,,,
AL001,2012-01-10T00:00:00,16.17,12.07638,7.259,94.3,72.88332,55.21,8.490348,0,0,26.1,8.798751,0,1145,278,0,7,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-11T00:00:00,15.9,11.68513,6.319,92.4,72.04417,54.04,10.89594,0,0,22.95,8.213875,0,1103,300,0,11,1,24,24,24,24,24,0,24,24,1,0,35,0,0,,,
AL001,2012-01-12T00:00:00,15.64,11.40125,7.797,90,70.7725,57.79,6.370286,0,0,20.25,5.989999,0,738,649,0,9,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-13T00:00:00,16.01,11.32787,7.325,92.2,81.13084,58.67,7.912228,0,0,16.65,2.990083,0,224,224,518,119,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-14T00:00:00,16.58,10.74483,5.577,98.3,85.17667,67.62,10.39908,0,0,26.55,4.122083,0,237,102,766,21,3,24,24,24,24,24,0,24,24,1,0,291,0,0,,,
AL001,2012-01-15T00:00:00,16.56,10.08783,3.586,91.6,68.21999,42.85,8.634999,0.5,0,13.5,2.2935,0,366,86,513,40,3,24,24,24,24,24,0,24,24,1,0,544,0,0,,,
AL001,2012-01-16T00:00:00,10.23,8.093166,5.576,97.5,91.9875,81.3,1.605553,25.7,0,28.8,4.260709,0,972,112,101,33,1,24,24,24,24,24,0,24,24,1,0,288,0,0,,,
AL001,2012-01-17T00:00:00,15.63,11.24,6.819,91.3,75.11959,58.99,6.787433,11.6,0,38.25,13.59775,0,1251,172,0,16,1,24,24,24,24,24,0,24,24,1,0,21,0,0,,,
AL001,2012-01-18T00:00:00,15.74,11.69708,6.69,93.9,73.875,50.05,10.95808,0.1,0,22.05,7.679251,0,1056,361,0,15,1,24,24,24,24,24,0,24,24,1,0,11,0,0,,,
AL001,2012-01-19T00:00:00,15.36,9.592126,5.003,97.8,81.35668,45.23,10.48895,0.3,0,17.55,2.511374,0,817,598,18,6,1,24,24,24,24,24,0,24,24,1,0,426,0,0,,,
AL001,2012-01-20T00:00:00,14.42,7.808541,2.107,96.9,86.48499,68.54,11.47007,0,0,24.3,3.962916,0,809,52,484,27,1,24,24,24,24,24,0,24,24,1,0,760,0,0,,,
AL001,2012-01-21T00:00:00,17.52,9.640958,3.523,96.2,81.7479,47.98,12.11723,1.7,0,13.5,1.95525,0,867,178,232,72,1,24,24,24,24,24,0,24,24,1,0,588,0,0,,,
AL001,2012-01-22T00:00:00,15.77,8.968752,3.053,97.9,86.29125,59.31,12.24671,0.1,0,18,2.93225,0,677,70,633,21,1,24,24,24,24,24,0,24,24,1,0,660,0,0,,,
AL001,2012-01-23T00:00:00,15.07,9.033332,2.343,98.7,89.89417,73.76,10.28584,0,0,18.9,3.508167,0,701,12,570,141,1,24,24,24,24,24,0,24,24,1,0,507,0,0,,,
AL001,2012-01-24T00:00:00,17.73,10.09429,4.633,98.2,84.37251,53.27,11.85165,0.1,0,12.6,2.386708,0,830,145,419,24,1,24,24,24,24,24,0,24,24,1,0,545,0,0,,,
AL001,2012-01-25T00:00:00,15.51,9.319667,3.286,96.9,86.07291,69.4,8.455341,0.1,0,11.25,1.929542,0,989,426,17,4,1,24,24,24,24,24,0,24,24,1,0,522,0,0,,,
AL001,2012-01-26T00:00:00,15.16,9.914375,4.397,96.7,86.42458,67.43,11.61937,0,0,17.1,3.686334,0,684,118,552,86,1,24,24,24,24,24,0,24,24,1,0,315,0,0,,,
AL001,2012-01-27T00:00:00,13.93,9.504168,5.51,97.3,87.29,70.33,4.73054,0.5,0,15.3,3.000458,0,986,432,10,8,1,24,24,24,24,24,0,24,24,1,0,532,0,0,,,
AL001,2012-01-28T00:00:00,16.75,11.41208,8.07,98.8,79.19041,48.2,10.05655,15,0,19.8,3.895375,0,337,670,293,141,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-01-29T00:00:00,16.82,9.628959,3.991,97.6,68.96791,31.86,13.64421,0,0,18.45,2.907583,0,581,197,478,176,1,24,24,24,24,24,0,24,24,1,0,449,0,0,,,
AL001,2012-01-30T00:00:00,14.5,8.500626,2.844,81.7,46.97416,19.94,13.74746,0,0,19.8,4.06425,0,559,471,188,198,1,24,24,24,24,24,0,24,24,1,0,546,0,0,,,
AL001,2012-01-31T00:00:00,13.58,7.272707,0.972,92.7,78.10917,57.21,13.64634,0,0,24.3,4.857583,0,684,53,605,87,1,24,24,24,24,24,0,24,24,1,0,607,0,0,,,
AL001,2012-02-01T00:00:00,16.07,8.872041,2.715,98.5,83.31666,46.7,13.395,0,0,16.65,3.116125,0,702,57,550,56,1,24,24,24,24,24,0,24,24,1,0,678,0,0,,,
AL001,2012-02-02T00:00:00,11.23,7.23875,4.058,94,72.22707,36.3,5.064858,0.4,0,18,3.5645,0,547,630,118,69,2,24,24,24,24,24,0,24,24,1,0,786,0,0,,,
AL001,2012-02-03T00:00:00,11.64,6.067333,-0.784,56.79,27.80958,15.27,14.61136,0.2,0,28.35,5.86275,0,416,181,346,436,4,24,24,24,24,24,0,24,24,1,20,897,0,0,,,
AL001,2012-02-04T00:00:00,10.02,6.013957,2.141,29.64,18.87208,12.77,14.96966,0,0,39.15,9.166792,0,800,31,132,385,1,24,24,24,24,24,0,24,24,1,0,933,0,0,,,
AL001,2012-02-05T00:00:00,12.75,7.15975,-0.412,58.61,43.81833,20.3,10.61085,0,0,24.75,4.746709,0,333,174,369,191,3,24,24,24,24,24,0,24,24,1,28,615,0,0,,,
AL001,2012-02-06T00:00:00,18.67,13.01946,4.498,51.89,34.32709,21.32,14.3362,0,0,24.3,5.093791,0,452,74,258,492,4,24,24,24,24,24,0,24,24,1,0,188,0,0,,,
AL001,2012-02-07T00:00:00,19.36,14.4725,8.32,72.31,37.89792,28.26,7.939656,0.9,0,31.95,6.916208,0,640,77,154,515,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2012-02-08T00:00:00,10.98,6.714208,3.002,56.45,34.82293,17.69,14.68052,0,0,23.85,6.576083,0,639,525,36,91,1,24,24,24,24,24,0,24,24,1,0,833,0,0,,,
AL001,2012-02-09T00:00:00,11.22,6.278959,1.044,85.3,54.21584,35.21,11.231,0,0,21.6,5.775793,0,622,510,0,7,1,24,24,24,24,24,0,24,24,1,0,833,0,0,,,
AL001,2012-02-10T00:00:00,13.54,5.993792,-1.341,94,68.10708,35.93,15.02739,0,0,23.85,4.750792,0,164,49,494,100,3,24,24,24,24,24,0,24,24,1,263,815,0,0,,,
AL001,2012-02-11T00:00:00,13.24,6.373458,0.551,78.22,53.30167,28.85,12.18099,0,0,22.5,3.574208,0,535,333,139,63,1,24,24,24,24,24,0,24,24,1,0,856,0,0,,,
AL001,2012-02-12T00:00:00,11.58,4.345876,-1.678,76.89,43.41875,12.57,15.79967,0,0,15.3,3.152875,0,583,517,49,45,1,24,24,24,24,24,0,24,24,1,278,946,0,0,,,
AL001,2012-02-13T00:00:00,11.45,4.240709,-2.544,67.36,39.10043,14.64,16.09758,0,0,17.55,3.310375,0,362,417,141,119,2,24,24,24,24,24,0,24,24,1,477,891,0,0,,,
AL001,2012-02-14T00:00:00,13.34,6.920876,-0.598,74.7,57.06543,38.49,14.64102,0,0,25.65,5.609125,0,278,127,429,93,3,24,24,24,24,24,0,24,24,1,73,602,0,0,,,
AL001,2012-02-15T00:00:00,13.4,8.177375,2.056,81.7,59.79333,41.43,11.87721,0,0,15.75,3.491458,0,451,629,83,5,2,24,24,24,24,24,0,24,24,1,0,658,0,0,,,
AL001,2012-02-16T00:00:00,14.01,7.253417,-0.091,89.7,67.52791,37.41,10.38195,0,0,16.2,2.805166,0,682,410,88,122,1,24,24,24,24,24,0,24,24,1,2,625,0,0,,,
AL001,2012-02-17T00:00:00,14.55,9.424666,3.576,89.7,71.4604,49.57,13.90929,0,0,24.3,6.943249,0,908,520,0,4,1,24,24,24,24,24,0,24,24,1,0,494,0,0,,,
AL001,2012-02-18T00:00:00,15.05,10.34554,5.189,89.4,70.2725,46.31,15.9658,0,0,18,5.7595,0,826,583,23,1,1,24,24,24,24,24,0,24,24,1,0,236,0,0,,,
AL001,2012-02-19T00:00:00,15.52,8.891665,2.327,95.5,81.72749,57.83,15.93901,0,0,18.45,3.733917,0,645,191,578,25,1,24,24,24,24,24,0,24,24,1,0,664,0,0,,,
AL001,2012-02-20T00:00:00,14.75,9.125665,2.901,91.5,77.06375,50.37,14.04322,0,0,20.7,5.309376,0,829,607,0,0,1,24,24,24,24,24,0,24,24,1,0,558,0,0,,,
