COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MED,T_S_MAX,T_S_MIN
AL001,2008-03-15T00:00:00,20.87,15.52208,11.71,94.2,79.82499,57.6,13.69771,0,0,39.49,7.791247,0,289,171,822,158,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-16T00:00:00,22.32,15.50667,9.32,91.1,68.87206,38.53,19.82055,0,0,20.56,4.214375,0,605,159,560,116,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-17T00:00:00,20.37,15.38292,9.8,91.1,72.16666,47,18.89263,0,0,23.83,6.005458,0,518,99,727,96,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-18T00:00:00,20.8,14.78541,8.77,93,67.63333,36.7,19.16177,0,0,22.85,5.104666,0,544,294,518,84,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-19T00:00:00,19.51,13.90667,7.63,83.6,62.75501,34.12,20.1337,0,0,25.13,4.535459,0,610,255,531,44,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-20T00:00:00,14.28,12.93167,10.96,90.6,77.52499,65.7,3.719822,3.5,29,22.2,6.066042,0,857,573,3,7,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-21T00:00:00,17.4,13.47083,9.44,89.2,72.51249,52.1,20.66308,0.1,1,27.74,6.774874,0,414,274,570,182,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-22T00:00:00,21.06,14.53458,8.27,93.1,69.28207,37.17,21.35951,0.4,1,40.8,11.47825,0,191,113,753,383,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-23T00:00:00,16.17,13.06833,9.03,58.4,29.77584,17.21,17.18707,0,0,30.36,5.671417,0,323,237,504,376,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-24T00:00:00,17.21,13.00833,7.41,74.6,38.10625,22.93,22.45504,0,0,25.46,6.514917,0,176,81,895,288,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2008-03-25T00:00:00,19.14,12.6925,4.74,84,61.82125,34.33,22.23042,0,0,22.52,5.075417,0,621,57,666,96,3,24,24,24,24,24,0,24,24,1,0,282,0,0,,,
AL001,2008-03-26T00:00:00,22.79,15.57792,9.26,95.6,63.10501,28.04,22.19142,0.7,2,43.7,8.676084,0,493,84,576,287,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
