COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MAX,T_S_MED,T_S_MIN
AL001,2014-01-01T00:00:00,16.56,10.78946,5.41,97.6,86.00708,60.28,10.76432,0,0,14.4,2.712584,0,528,281,515,3,1,24,24,24,24,24,0,24,24,1,0,528,0,0,,,
AL001,2014-01-02T00:00:00,15.86,12.72333,10.34,99.3,95.33332,82.6,3.003588,0,0,13.05,1.802542,0,526,210,469,116,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-03T00:00:00,18.12,13.77375,11.55,100,95.27582,77.19,9.205088,0,0,27.9,4.781791,0,352,119,868,99,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-04T00:00:00,18.29,14.315,10.61,100,85.50668,29.16,10.07907,1,0,50.85,11.57921,0,362,7,942,125,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-05T00:00:00,18.79,13.10617,6.725,91.6,59.77917,13.61,9.814398,0,0,28.8,4.4505,0,519,450,395,72,1,24,24,24,24,24,0,24,24,1,0,18,0,0,,,
AL001,2014-01-06T00:00:00,16.29,9.860374,4.201,99.1,82.91625,59.32,10.51311,0,0,21.6,3.745292,0,657,253,521,7,1,24,24,24,24,24,0,24,24,1,0,525,0,0,,,
AL001,2014-01-07T00:00:00,18.95,10.19983,3.798,100,80.57875,36.66,10.78683,0,0,12.6,1.769208,0,546,467,426,0,1,24,24,24,24,24,0,24,24,1,0,569,0,0,,,
AL001,2014-01-08T00:00:00,19.93,10.74817,4.539,78.23,61.19667,30.47,10.882,0,0,12.15,3.764584,0,1022,419,0,0,1,24,24,24,24,24,0,24,24,1,0,537,0,0,,,
AL001,2014-01-09T00:00:00,16.4,10.98333,6.49,94.3,75.25459,61.56,9.811069,0,0,18.45,6.808042,0,782,623,0,0,1,24,24,24,24,24,0,24,24,1,0,39,0,0,,,
AL001,2014-01-10T00:00:00,16.16,12.4175,9.29,95.3,77.19459,66.13,7.291495,0.2,0,19.8,8.655292,0,726,693,0,11,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-11T00:00:00,15.11,11.49708,8.95,93.3,85.54291,68.45,5.099536,0,0,14.85,2.255958,0,607,468,365,0,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-12T00:00:00,16.63,12.1725,7.535,100,90.4075,70.55,10.72025,0,0,18.45,3.454917,0,501,188,746,5,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-13T00:00:00,15.52,12.42708,7.536,100,93.97043,78.19,3.356687,0.4,0,14.85,4.139791,0,49,136,1142,111,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-14T00:00:00,19.01,12.86271,5.011,90.2,58.94292,37.44,11.29722,0,0,26.55,7.130584,0,252,160,763,262,3,24,24,24,24,24,0,24,24,1,0,244,0,0,,,
AL001,2014-01-15T00:00:00,20.56,12.12042,7.046,100,81.26958,45.85,10.31039,0,0,21.6,4.074166,0,609,111,714,6,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-16T00:00:00,15.43,12.34667,9.51,100,94.19168,81.2,5.003003,0,0,30.15,6.437834,0,10,30,1358,41,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-17T00:00:00,14.96,10.09429,4.353,95,80.61292,58.9,11.53,0,0,28.8,5.103667,0,405,123,907,4,3,24,24,24,24,24,0,24,24,1,0,224,0,0,,,
AL001,2014-01-18T00:00:00,15.2,11.175,8.57,96.2,80.63126,56.82,8.735152,0,0,28.8,7.064459,0,195,216,956,69,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-19T00:00:00,14.77,11.29,7.89,98.1,64.82958,37.83,6.281651,5.6,0,28.35,8.726291,0,152,31,882,369,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2014-01-20T00:00:00,15.3,10.97196,5.46,86.8,51.97791,31.22,12.9102,0,0,25.2,5.6085,0,427,193,572,245,3,24,24,24,24,24,0,24,24,1,0,169,0,0,,,
