COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MAX,T_S_MED,T_S_MIN
AL001,2011-01-01T00:00:00,18.47,12.22,9.53,100,94.1325,63.78,6.966172,7.3,0,9.45,0.9382083,0,1031,197,201,8,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-02T00:00:00,17.43,11.48625,7.848,99.6,89.59251,55.76,5.978527,0.4,0,12.15,1.43025,0,607,62,625,147,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-03T00:00:00,17.54,10.62079,6.16,96.6,79.11582,49.69,6.962608,0,0,15.3,1.890375,0,751,177,426,87,1,24,24,24,24,24,0,24,24,1,0,309,0,0,,,
AL001,2011-01-04T00:00:00,15.38,9.804209,6.025,99.7,90.24999,64.39,7.562783,0,0,16.2,2.557333,0,968,16,406,48,1,24,24,24,24,24,0,24,24,1,0,294,0,0,,,
AL001,2011-01-05T00:00:00,15.68,10.04583,4.945,100,93.54874,76.41,7.529263,0.2,0,15.75,2.456583,0,692,8,625,113,1,24,24,24,24,24,0,24,24,1,0,579,0,0,,,
AL001,2011-01-06T00:00:00,16.76,11.17012,5.958,99.8,92.76541,67.43,8.136151,0.1,0,22.05,3.481958,0,596,15,736,91,3,24,24,24,24,24,0,24,24,1,0,245,0,0,,,
AL001,2011-01-07T00:00:00,17.64,12.99458,8.31,97.9,80.58625,52.45,6.592327,0,0,18.45,4.063209,0,268,28,1045,98,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-08T00:00:00,19.12,12.253,6.733,99.3,85.65042,58.37,9.908215,0.1,0,16.65,2.500084,0,623,29,584,203,1,24,24,24,24,24,0,24,24,1,0,24,0,0,,,
AL001,2011-01-09T00:00:00,16.7,12.80967,7.307,97.7,81.92419,59.3,7.814192,0,0,32.4,6.854833,0,357,34,982,68,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-10T00:00:00,17.94,10.90088,5.755,87.9,71.15376,40.17,10.78363,0,0,13.95,2.605791,0,806,174,404,54,1,24,24,24,24,24,0,24,24,1,0,187,0,0,,,
AL001,2011-01-11T00:00:00,18.21,10.57279,4.17,91.6,79.31416,51.5,10.77743,0,0,16.65,2.550292,0,632,70,520,197,1,24,24,24,24,24,0,24,24,1,0,505,0,0,,,
AL001,2011-01-12T00:00:00,20.32,11.57271,5.215,93.3,76.86791,36.9,10.27687,0,0,15.3,2.314375,0,840,48,454,75,1,24,24,24,24,24,0,24,24,1,0,185,0,0,,,
AL001,2011-01-13T00:00:00,18.98,11.10004,4.777,93.3,76.66708,43.19,11.10444,0,0,14.4,2.299917,0,967,8,452,12,1,24,24,24,24,24,0,24,24,1,0,282,0,0,,,
AL001,2011-01-14T00:00:00,20.04,11.05879,6.329,96.9,74.02666,36.73,11.07629,0,0,17.1,3.302999,0,885,51,498,5,1,24,24,24,24,24,0,24,24,1,0,421,0,0,,,
AL001,2011-01-15T00:00:00,19.55,10.76667,4.406,98.8,84.76792,50.61,11.05411,0.1,0,12.15,2.268167,0,980,288,99,72,1,24,24,24,24,24,0,24,24,1,0,550,0,0,,,
AL001,2011-01-16T00:00:00,16.53,10.22208,6.869,99.8,89.77293,65.13,8.564432,0,0,15.75,1.612,0,812,171,378,75,1,24,24,24,24,24,0,24,24,1,0,8,0,0,,,
AL001,2011-01-17T00:00:00,16.53,10.92792,5.89,98.5,87.25416,65.87,10.42916,0,0,13.5,2.117626,0,902,54,466,17,1,24,24,24,24,24,0,24,24,1,0,98,0,0,,,
AL001,2011-01-18T00:00:00,13.73,11.3375,8.35,97.8,80.51458,65.28,3.524526,1.5,0,15.75,3.872083,0,1128,288,6,12,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-19T00:00:00,15.25,12.23542,10.47,86,70.27209,57.16,5.368925,0,0,13.95,3.411541,0,976,452,1,5,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-20T00:00:00,16.59,10.55587,5.249,97.2,83.62041,57.92,9.982177,0,0,11.25,1.3285,0,932,345,142,16,1,24,24,24,24,24,0,24,24,1,0,259,0,0,,,
AL001,2011-01-21T00:00:00,13.02,8.434916,4.642,95.3,75.3279,54.1,6.61937,0,0,19.35,4.431959,0,957,473,8,0,1,24,24,24,24,24,0,24,24,1,0,502,0,0,,,
AL001,2011-01-22T00:00:00,10.77,6.800625,1.415,72.21,57.29459,39.1,10.02758,0,0,16.65,4.229042,0,885,549,4,1,1,24,24,24,24,24,0,24,24,1,0,691,0,0,,,
AL001,2011-01-23T00:00:00,8.72,7.215042,6.261,78.24,60.27625,47.74,3.336318,1.9,0,34.2,12.97708,1.35,1364,49,0,23,1,24,24,24,24,24,0,24,24,1,0,525,0,0,,,
AL001,2011-01-24T00:00:00,8.92,7.974417,6.599,84.1,70.56041,59.46,1.801379,3.1,0,32.4,14.90333,1.35,1372,33,0,30,1,24,24,24,24,24,0,24,24,1,0,69,0,0,,,
AL001,2011-01-25T00:00:00,10.97,9.24021,7.679,80.2,69.79041,62.59,4.237567,0,0,21.15,9.328624,1.8,1391,25,0,18,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
AL001,2011-01-26T00:00:00,12.21,10.1625,8.65,86.2,76.99749,65.75,4.224128,0.2,0,26.55,10.17375,0,1346,53,0,30,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
