cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
AL001,2016-01-01T00:00:00,16.91,12.8695833333333,8.04,100,93.11625,79.44,0.22722105,0.2,19.8,4.79545833333333,0,347,339,726,17,3
AL001,2016-01-02T00:00:00,19.3,14.0675,9.93,97.2,86.3616666666667,70.04,0.3762165,0,28.35,4.77725,0,425,55,771,176,4
AL001,2016-01-03T00:00:00,19.37,14.3554166666667,10.24,95.5,85.6175,65.36,0.27093615,0,32.85,5.009125,0,173,376,859,19,3
AL001,2016-01-04T00:00:00,18.74,16.2779166666667,13.48,92.8,83.955,73.32,0.32426445,0,42.75,14.7771666666667,0,40,1,1273,106,3
AL001,2016-01-05T00:00:00,20.58,15.5720833333333,11.59,96.4,63.1154166666667,25.32,0.3200727,0.8,31.95,10.3908333333333,0,59,63,1071,225,4
AL001,2016-01-06T00:00:00,18.07,12.83375,8.95,65.89,40.4216666666667,23.46,0.3481959,0,34.2,7.95258333333333,0,218,101,741,358,4
AL001,2016-01-07T00:00:00,17.76,12.086,6.148,97.3,78.3829166666667,62.77,0.43550655,0,18,3.94766666666667,0,329,216,829,55,3
AL001,2016-01-08T00:00:00,18.27,12.538375,6.514,97.7,81.85,55.87,0.44497935,0,29.25,6.378,0,293,159,896,80,3
AL001,2016-01-09T00:00:00,18.01,15.1383333333333,10.66,93.1,80.4304166666667,67.87,0.3176724,0,37.8,9.36970833333333,0,40,34,1293,53,3
AL001,2016-01-10T00:00:00,17.24,13.2630833333333,5.002,81.2,67.8666666666667,53.86,0.3211785,0,36,9.20091666666667,0,20,35,1221,140,4
AL001,2016-01-11T00:00:00,18.13,15.4441666666667,12.99,94.1,77.7591666666667,57.04,0.3485544,0,50.4,14.790875,0,0,5,1301,116,3
AL001,2016-01-12T00:00:00,18.17,12.4283333333333,8.06,97.5,78.2666666666667,47.33,0.4453626,0,13.5,2.54045833333333,0,809,540,87,0,3
AL001,2016-01-13T00:00:00,17.02,10.5375833333333,6.15,87.6,67.7320833333333,35.27,0.4281759,0,15.75,3.20645833333333,0,1056,383,0,0,2
AL001,2016-01-14T00:00:00,16.05,10.410125,3.523,94.3,81.7154166666667,53.05,0.3605538,0,25.65,4.61183333333333,0,419,208,794,10,3
AL001,2016-01-15T00:00:00,17.02,12.5725833333333,6.784,94.3,83.49375,56.3,0.2264379,0.6,18.9,3.10995833333333,0,657,753,27,0,2
AL001,2016-01-16T00:00:00,16.86,9.102,3.151,91.1,51.0229166666667,18.16,0.48303705,0,26.1,4.14875,0,951,260,168,50,3
AL001,2016-01-17T00:00:00,14.07,7.57129166666667,1.737,83.2,63.90125,43.5,0.4038507,0,15.3,3.01358333333333,0,734,172,522,8,3
AL001,2016-01-18T00:00:00,17.53,10.6804166666667,4.4,87.3,74.6225,50.92,0.47263995,0,18,3.93191666666667,0,409,168,831,25,3
AL001,2016-01-19T00:00:00,16.68,11.5860416666667,5.238,80.3,63.0425,42.9,0.38157345,0,20.25,2.94141666666667,0,392,394,574,74,4
AL001,2016-01-20T00:00:00,15.15,10.6431666666667,5.609,96.9,85.2054166666667,71.54,0.2494827,0.8,22.95,4.620875,0,541,201,641,48,4
AL001,2016-01-21T00:00:00,16.72,11.055625,5.88,96.8,77.4441666666667,58.55,0.3942978,0,20.25,3.54370833333333,0,638,202,592,1,3
AL001,2016-01-22T00:00:00,19.28,12.0200833333333,6.315,93,80.2591666666667,59.29,0.4214859,0,12.15,2.85654166666667,0,794,217,421,1,3
AL001,2016-01-23T00:00:00,19.38,12.89,7.862,99.1,77.8033333333334,55.57,0.42434805,0.2,17.1,4.43591666666667,0,936,504,0,0,2
AL001,2016-01-24T00:00:00,19.15,12.6820833333333,7.761,91.8,73.3716666666667,48.09,0.4443282,0,18.45,5.06625,0,809,632,0,0,2
AL001,2016-01-25T00:00:00,18.1,12.3883333333333,7.628,91.8,81.51625,65.02,0.44373405,0,15.3,2.83054166666667,0,729,244,451,11,3
AL001,2016-01-26T00:00:00,16.46,12.40875,9.41,93.3,84.90625,65.88,0.27052545,0,13.95,2.2965,0,304,591,529,12,3
AL001,2016-01-27T00:00:00,17.32,11.525375,6.752,95.3,83.7470833333333,62.13,0.34062225,0,13.05,2.10520833333333,0,655,691,92,0,3
AL001,2016-01-28T00:00:00,17.49,11.40375,5.744,94.3,78.2875,54.2,0.4408488,0,16.2,3.23745833333333,0,649,49,733,2,3
AL001,2016-01-29T00:00:00,16.16,12.4825,9.24,89.4,79.80375,67.65,0.21165555,0,18.9,4.128125,0,816,498,125,0,3
AL001,2016-01-30T00:00:00,19.08,13.6216666666667,8.77,93.8,77.51,48.27,0.47211915,5,20.25,5.600125,0,741,155,514,19,3
AL001,2016-01-31T00:00:00,17.36,10.9612083333333,4.263,97.1,85.1341666666666,61.52,0.4962921,0,20.25,3.403875,0,587,181,668,0,3
AL001,2016-02-01T00:00:00,22.18,13.0697083333333,6.62,96.8,74.0720833333333,38.09,0.54799995,0,15.75,3.10083333333333,0,293,396,746,0,3
AL001,2016-02-02T00:00:00,19.49,12.5841666666667,6.52,90.5,73.8795833333333,50.47,0.54849135,0,18,3.75566666666667,0,593,135,706,0,3
AL001,2016-02-03T00:00:00,19.82,13.3495833333333,8.23,99.8,83.9241666666666,50.26,0.4299255,0.2,19.8,4.6275,0,573,542,234,89,4
AL001,2016-02-04T00:00:00,16.39,12.80125,9.34,94.2,74.2966666666667,45.81,0.3335469,0,24.3,8.16291666666667,0,1137,290,0,4,2
AL001,2016-02-05T00:00:00,17.06,12.9670833333333,9.17,85.3,66.2479166666667,48.59,0.38635605,0,22.5,9.9405,0,1026,393,0,10,2
AL001,2016-02-06T00:00:00,16.46,11.99875,8.07,91.3,81.43125,65.99,0.34488495,0,33.3,7.12220833333333,0,530,116,772,12,3
AL001,2016-02-07T00:00:00,21.71,15.9341666666667,10.89,90,58.7616666666667,11.51,0.3694707,0,40.95,10.2094166666667,0,337,238,699,145,4
AL001,2016-02-08T00:00:00,18.98,12.3617083333333,6.65,89.8,66.5225,46.61,0.42649725,0,16.65,3.3445,0,637,369,413,17,3
AL001,2016-02-09T00:00:00,20.02,12.6816666666667,5.339,96,73.77375,45.56,0.5629437,0,29.25,7.47779166666667,0,212,445,765,7,3
AL001,2016-02-10T00:00:00,20.87,15.8120833333333,13.09,93.4,77.235,51.92,0.41892525,0,34.2,8.48170833333333,0,25,88,1222,87,4
AL001,2016-02-11T00:00:00,19.89,15.0170833333333,12.21,97.8,88.9533333333333,71.49,0.47363145,0.2,29.25,7.29054166666667,0,172,91,1005,157,4
AL001,2016-02-12T00:00:00,19.18,14.5216666666667,10.56,98.5,85.0475,63.38,0.3905031,0.2,31.5,7.97329166666667,0,118,110,1148,51,3
AL001,2016-02-13T00:00:00,19.28,15.43125,12.99,96.6,82.8070833333333,66.82,0.3789591,0,33.75,10.6102083333333,0,2,99,1265,52,3
AL001,2016-02-14T00:00:00,20.46,14.7895833333333,10.52,91.4,56.5429166666667,30.12,0.5312925,0.2,40.5,14.5510833333333,0,73,29,880,433,4
AL001,2016-02-15T00:00:00,17.03,12.4729166666667,8.8,42.23,33.9395833333333,24.71,0.43060575,0,25.65,7.41070833333334,0,499,97,419,390,4
AL001,2016-02-16T00:00:00,14.74,10.2220833333333,5.171,65.6,38.1645833333333,26.93,0.65320755,0,21.6,4.830625,0,407,434,569,18,3
AL001,2016-02-17T00:00:00,13.8,8.968625,4.36,85.2,63.1341666666667,40.5,0.63015915,0,37.8,7.25154166666667,0,397,88,915,28,3
AL001,2016-02-18T00:00:00,14.1,9.60033333333333,4.401,86.3,63.7129166666667,33.68,0.31897695,0,22.5,4.180125,0,479,207,741,5,3
AL001,2016-02-19T00:00:00,13.63,12.0841666666667,10.12,84.8,68.0345833333333,60.14,0.143784,0,26.55,12.420625,0,1304,86,0,39,2
AL001,2016-02-20T00:00:00,15.25,12.8845833333333,11.33,75.77,66.4691666666667,58.71,0.31234005,0,35.55,16.5108333333333,4.95,1284,97,0,47,1
AL001,2016-02-21T00:00:00,17.73,14.16625,11.57,69.72,61.6454166666667,43.63,0.2870328,0,30.15,13.9787916666667,2.7,1178,237,0,18,2
AL001,2016-02-22T00:00:00,19.38,14.5979166666667,8.9,92.6,65.1104166666667,42.16,0.53637885,0,22.05,5.06720833333333,0,157,438,702,138,4
AL001,2016-02-23T00:00:00,21.4,14.0091666666667,7.695,94.9,64.46625,27.32,0.6382755,0,21.6,4.05495833333333,0,373,228,755,77,4
AL001,2016-02-24T00:00:00,16.79,12.323125,6.379,99.3,83.4629166666667,61.7,0.6567573,0,31.5,7.49645833333333,0,506,193,718,12,3
AL001,2016-02-25T00:00:00,20.09,13.5445833333333,7.83,91.4,65.14,30.01,0.70818135,0,26.1,5.73395833333333,0,314,288,622,206,4
AL001,2016-02-26T00:00:00,16.36,11.3644583333333,5.341,94.4,70.75125,48.47,0.5050656,4.2,41.85,8.648625,0,239,371,774,42,3
AL001,2016-02-27T00:00:00,15.45,10.5530416666667,5.778,85.8,46.7870833333333,26.89,0.5693766,0,32.4,7.7645,0,139,25,816,433,4
AL001,2016-02-28T00:00:00,17.36,12.6404166666667,8.07,45.32,35.4979166666667,27.36,0.60964035,0,31.5,7.74004166666667,0,83,38,686,602,4
AL001,2016-02-29T00:00:00,18.54,12.8651666666667,6.416,71.92,43.8541666666667,23.22,0.7409196,0,30.6,4.31091666666667,0,454,330,281,355,4
AL001,2016-03-01T00:00:00,18.94,11.7015,4.805,83.4,55.88125,24.8,0.76302585,0,18,3.55141666666667,0,612,262,546,11,3
AL001,2016-03-02T00:00:00,19.08,11.941875,4.469,86.2,66.7591666666667,31.59,0.76974285,0,22.05,4.702875,0,382,107,946,2,3
AL001,2016-03-03T00:00:00,20.79,14.3483333333333,7.594,73.63,58.55125,39.41,0.75856665,0,13.95,2.78666666666667,0,715,609,78,33,4
AL001,2016-03-04T00:00:00,19.96,13.055,6.922,92.5,71.2054166666667,35.78,0.76431165,0,26.55,5.67616666666667,0,573,105,744,7,3
AL001,2016-03-05T00:00:00,18.68,14.2025,9.65,93.6,48.0141666666666,19.39,0.79759125,0,27.45,5.36554166666667,0,354,277,627,166,4
AL001,2016-03-06T00:00:00,18.14,13.3604166666667,7.628,60.95,40.6975,23.21,0.75367035,0,36.45,5.70020833333333,0,217,179,623,402,4
AL001,2016-03-07T00:00:00,14.14,10.6981666666667,5.137,59.59,48.0645833333333,34.88,0.25854315,0,23.85,5.84004166666667,0,534,132,656,100,4
AL001,2016-03-08T00:00:00,17.59,12.1359166666667,7.427,69.26,43.1941666666667,23.7,0.6015219,0,27.45,4.137375,0,392,273,637,120,4
AL001,2016-03-09T00:00:00,17.75,11.2464583333333,2.645,81.2,56.4333333333333,34.64,0.53081775,0,36,8.26283333333333,0,515,62,700,150,4
AL001,2016-03-10T00:00:00,17.11,14.1370833333333,9.92,42.81,30.21,19.95,0.3874074,0,31.5,8.15345833333333,0,486,93,507,318,4
AL001,2016-03-11T00:00:00,17.26,11.4554583333333,4.198,68.69,45.4525,24.01,0.74608365,0,25.2,4.42354166666667,0,337,157,626,286,4
AL001,2016-03-12T00:00:00,16.92,10.856125,3.489,80.7,63.2741666666667,41.29,0.8505432,0,21.6,4.82754166666667,0,675,105,644,7,3
AL001,2016-03-13T00:00:00,18.07,11.2048333333333,4.807,85.2,63.0416666666667,30.24,0.85229625,0,22.95,4.76266666666667,0,632,132,653,12,3
AL001,2016-03-14T00:00:00,17.96,11.4264583333333,4.805,84.4,64.5033333333333,34.47,0.8416674,0,21.15,4.87141666666667,0,749,106,566,7,3
AL001,2016-03-15T00:00:00,16.95,11.607625,6.049,88.2,72.51875,55.58,0.71024025,0,24.3,5.867125,0,572,101,690,67,4
AL001,2016-03-16T00:00:00,21.3,14.2525,8.8,91.1,68.5595833333333,41.61,0.7695552,0,22.95,4.32808333333333,0,583,309,523,15,3
AL001,2016-03-17T00:00:00,19.6,13.6077826086957,6.825,88.2,66.9056521739131,43.78,0.886075669565217,0,16.2,3.50286956521739,0,789,514,72,0,3
AL001,2016-03-18T00:00:00,18.08,14.07,10.17,88.8,73.4716666666667,55.62,0.5025081,0,13.95,3.53816666666667,0,441,544,452,0,3
AL001,2016-03-19T00:00:00,17.21,14.575,12.13,90.9,79.7420833333333,64.11,0.5502927,0,25.65,8.67233333333333,0,0,27,1386,13,3
AL001,2016-03-20T00:00:00,19.7,14.5058333333333,10.64,91.6,71.0304166666667,35.56,0.92361555,0,25.2,4.85875,0,455,210,659,104,4
AL001,2016-03-21T00:00:00,15.81,12.29375,9.02,87,77.1829166666667,55.52,0.345012,0,17.55,4.03675,0,175,376,797,78,4
AL001,2016-03-22T00:00:00,16.98,12.1770833333333,10.24,95.3,84.79625,57.43,0.39649425,3.4,19.35,2.94425,0,744,520,163,10,3
AL001,2016-03-23T00:00:00,18.23,12.6647916666667,6.435,95.8,77.2791666666667,51.42,0.88463265,0.2,31.05,6.37908333333333,0,450,285,684,15,3
AL001,2016-03-24T00:00:00,20.34,14.035,7.476,92.9,61.9770833333333,34.06,0.8748615,0,17.1,3.28654166666667,0,498,400,502,31,3
AL001,2016-03-25T00:00:00,20.45,13.6435416666667,6.167,93.2,72.84375,50.84,0.9332463,0,26.1,6.5705,0,392,163,870,8,3
AL001,2016-03-26T00:00:00,22.1,15.985,10.71,98.4,77.5195833333333,50.37,0.9305469,0,25.65,5.42425,0,364,62,878,125,4
AL001,2016-03-27T00:00:00,21.22,15.2595833333333,9.32,94.6,80.17875,50.2,0.88140675,0,24.75,5.66570833333333,0,394,260,755,22,3
AL001,2016-03-28T00:00:00,18.99,14.9845833333333,11.35,99.5,81.4254166666667,54.37,0.8752194,0,22.95,5.84108333333333,0,599,92,740,2,3
AL001,2016-03-29T00:00:00,23.31,15.50375,7.912,98.3,67.85,31.4,0.98803815,0,20.7,4.79004166666667,0,488,328,613,3,3
AL001,2016-03-30T00:00:00,25.97,17.1558333333333,8.79,84.3,55.48,31.58,0.89366475,0,15.3,4.020125,0,525,267,637,3,3
AL001,2016-03-31T00:00:00,19.17,15.1491666666667,11.39,86.1,62.0591666666667,34.43,0.8980548,0,35.55,8.67945833333333,0,83,150,1037,154,4
AL001,2016-04-01T00:00:00,19.84,14.64375,7.949,69.2,43.7504166666667,20.11,1.0099479,0,34.2,6.270125,0,309,240,772,104,4
AL001,2016-04-02T00:00:00,18.59,13.7808333333333,7.751,88.5,62.9645833333333,32.99,0.98766615,0,22.95,5.572125,0,459,256,676,38,3
AL001,2016-04-03T00:00:00,19.43,14.3075,9.23,90.5,65.7395833333333,33.47,0.8160297,0,28.8,6.59416666666667,0,251,355,813,9,3
AL001,2016-04-04T00:00:00,18.09,14.7520833333333,12.16,97.5,80.7204166666667,62.02,0.43773285,8.4,49.5,13.3477083333333,0,0,3,1307,111,4
AL001,2016-04-05T00:00:00,19.87,15.0366666666667,11.05,97.3,64.2591666666667,39.52,0.53752785,2.6,31.5,5.369375,0,356,509,487,76,3
AL001,2016-04-06T00:00:00,19.33,15.735,11.42,82.5,63.2020833333333,47.9,0.3613242,0,21.15,5.09441666666667,0,589,355,469,14,3
AL001,2016-04-07T00:00:00,21.08,15.8129166666667,10.71,92.8,69.11,37.98,0.9366933,0,22.05,5.55529166666667,0,299,298,828,6,3
AL001,2016-04-08T00:00:00,18.84,14.32125,10.74,95.4,74.4033333333333,47.3,0.541401,1.8,31.05,5.994875,0,198,423,763,42,3
AL001,2016-04-09T00:00:00,17.95,13.4041666666667,6.601,93.4,76.3704166666667,52.52,1.0308381,0,30.15,6.75295833333333,0,32,210,1156,29,3
AL001,2016-04-10T00:00:00,19.97,14.7895833333333,7.982,95.5,72.645,49.09,0.97999005,0,37.35,9.57575,0,0,115,1256,56,3
AL001,2016-04-11T00:00:00,20.18,16.35,12.46,85.9,65.3308333333333,37.29,1.06603395,0,36.45,10.480625,0,150,20,1178,71,3
AL001,2016-04-12T00:00:00,20.75,16.2070833333333,10.1,89.5,63.1866666666667,43.12,1.0648065,0,40.05,11.3032083333333,0,345,170,866,49,3
AL001,2016-04-13T00:00:00,19.97,16.3983333333333,13,89.3,71.9125,54.42,1.0577427,0,36,9.94570833333333,0,150,7,1197,70,3
AL001,2016-04-14T00:00:00,23.31,17.0454166666667,10.03,93.9,65.9229166666667,36.77,1.03742565,0,22.5,5.66558333333333,0,331,159,821,116,4
AL001,2016-04-15T00:00:00,21.66,16.5291666666667,10.44,93.6,70.63,51.38,1.02501,0,30.15,8.25683333333333,0,252,142,889,143,4
AL001,2016-04-16T00:00:00,23.37,17.3054166666667,10.27,91.5,69.1708333333333,44.61,1.03886175,0,37.35,9.40008333333333,0,300,232,878,18,3
AL001,2016-04-17T00:00:00,22.23,17.8179166666667,14.96,88.3,74.91375,50.7,0.9131748,0,28.35,8.377,0,0,187,1232,7,3
AL001,2016-04-18T00:00:00,23.78,18.4483333333333,15.03,94.9,67.7204166666667,49.97,0.74494335,1,27.45,9.73125,0,744,468,112,106,4
AL001,2016-04-19T00:00:00,21.46,18.24625,16.01,62.48,53.0820833333333,40.34,0.9838431,0,44.1,18.0599166666667,1.35,977,440,0,20,2
AL001,2016-04-20T00:00:00,18.36,15.8816666666667,13.51,87.6,71.0283333333333,40.64,0.5023362,0.8,27.9,8.10183333333333,0,119,193,1045,66,3
AL001,2016-04-21T00:00:00,20.45,15.6220833333333,8.22,92,62.445,33.5,1.11680295,0,23.4,6.1205,0,215,246,941,27,3
AL001,2016-04-22T00:00:00,21.69,17.095,14.52,91.1,71.89625,41.46,0.8307051,0.2,27.9,6.61929166666667,0,0,52,1367,11,3
AL001,2016-04-23T00:00:00,21.99,16.8270833333333,10.74,96,74.8495833333333,46.82,1.06663815,0,25.2,5.95183333333333,0,8,143,1267,8,3
AL001,2016-04-24T00:00:00,24.05,18.355,13.21,92.2,63.7641666666667,36.93,1.04422305,0,21.15,4.24970833333333,0,230,440,755,9,3
AL001,2016-04-25T00:00:00,20.95,16.9679166666667,12.77,87.8,66.9795833333333,48.37,1.062042,0,23.85,7.460875,0,653,786,0,0,2
AL001,2016-04-26T00:00:00,22.53,17.2195833333333,10.51,84.6,62.0270833333333,32.93,1.1444814,0,23.85,6.83225,0,472,113,826,20,3
AL001,2016-04-27T00:00:00,22.44,17.6041666666667,14.02,95.7,80.15375,56.41,0.95488905,0,24.3,7.13220833333333,0,9,79,1335,3,3
AL001,2016-04-28T00:00:00,23.41,18.6416666666667,16.01,90.4,76.0116666666667,54.57,0.8852076,0,18.9,5.60570833333333,0,687,728,23,2,2
AL001,2016-04-29T00:00:00,21.26,17.7304166666667,15.77,84.1,72.87875,56.15,0.7724202,0,26.55,10.7898333333333,1.8,647,788,0,1,2
AL001,2016-04-30T00:00:00,21.86,17.4658333333333,13.95,84.6,73.8429166666667,60.47,0.89210085,0,23.85,6.516,0,238,372,802,15,3
AL001,2016-05-01T00:00:00,20.34,17.0666666666667,15,90.9,72.4983333333333,55.72,0.57284385,0,20.25,7.362125,0,455,978,4,1,2
AL001,2016-05-02T00:00:00,20.58,15.9691666666667,10.03,83.4,49.2808333333333,28.11,1.2012048,0,21.6,5.72533333333333,0,511,898,26,0,2
AL001,2016-05-03T00:00:00,25.46,18.5166666666667,10.34,66.76,32.79,10.34,1.232076,0,26.55,9.33941666666667,0,652,786,0,0,2
AL001,2016-05-04T00:00:00,24.32,19.7020833333333,15.74,54.31,32.3358333333333,17.25,0.8627286,0,30.6,11.8438333333333,1.35,688,739,0,10,2
AL001,2016-05-05T00:00:00,23.25,18.7891666666667,15.54,79.05,50.4666666666667,28.9,0.86901015,0,23.85,9.238875,0,882,547,1,5,2
AL001,2016-05-06T00:00:00,21.9,16.7629166666667,11.22,83.3,68.9120833333333,42.81,0.9218649,0,20.7,6.23291666666667,0,385,288,704,51,3
AL001,2016-05-07T00:00:00,22,18.4725,14.12,86.2,67.5004166666667,49,1.05032745,0,34.2,9.126375,0,5,35,1339,48,3
AL001,2016-05-08T00:00:00,23,18.40875,15.37,84.8,69.3629166666667,45.64,0.60630045,0.2,18.45,4.709125,0,278,436,687,24,3
AL001,2016-05-09T00:00:00,19.7,15.94375,12.97,95.4,81.4308333333333,69.77,0.61541625,6.6,33.75,6.95283333333333,0,86,139,1122,77,3
AL001,2016-05-10T00:00:00,23.27,17.5933333333333,13.24,93.3,69.74875,39.35,0.76358565,2,26.55,7.556875,0,562,340,500,28,3
AL001,2016-05-11T00:00:00,21.09,17.3316666666667,12.84,80.1,60.1420833333333,45.34,1.15110465,0,33.3,12.656375,0,0,19,1334,64,3
AL001,2016-05-12T00:00:00,21.22,17.0895833333333,11.49,86.1,65.22625,45.16,1.1644104,0,34.2,10.87975,0,3,16,1306,95,3
AL001,2016-05-13T00:00:00,23.04,17.4829166666667,11.32,84.2,59.13125,26.41,1.16090685,0,31.05,6.02054166666667,0,107,146,1020,145,4
AL001,2016-05-14T00:00:00,24.76,18.0975,10.95,87.6,62.5170833333333,32.64,1.21310235,0,25.2,4.00358333333333,0,385,247,708,89,4
AL001,2016-05-15T00:00:00,24.86,18.8004166666667,11.22,92.1,67.13375,42.61,1.19069055,0,18.9,3.28045833333333,0,127,347,752,200,4
AL001,2016-05-16T00:00:00,26.64,20.1879166666667,11.59,96.4,56.6041666666667,33.36,1.20200505,0,18.45,3.71075,0,500,370,526,34,3
AL001,2016-05-17T00:00:00,25.13,19.9775,13.34,76.03,49.6241666666667,28.98,0.9834978,0,25.65,7.6125,0,811,632,0,0,2
AL001,2016-05-18T00:00:00,26.44,20.8220833333333,17.39,79.19,54.43,27.74,1.13145435,0,19.35,6.84945833333333,0,367,650,414,6,3
AL001,2016-05-19T00:00:00,26.95,21.1454166666667,15.91,93.7,68.3333333333333,36.99,1.17971895,0,22.95,6.87229166666667,0,23,102,1286,9,3
AL001,2016-05-20T00:00:00,25.83,21.2408333333333,17.66,90.1,63.0733333333333,32.92,1.20175875,0,24.75,8.58066666666667,0,557,882,0,1,2
AL001,2016-05-21T00:00:00,26.71,21.0920833333333,15.57,77.69,51.3083333333333,24.95,1.22004885,0,25.2,8.195625,0,603,835,0,0,2
AL001,2016-05-22T00:00:00,24.65,20.0025,14.42,83.1,69.73,56,1.1600202,0,31.95,8.86683333333333,0,153,68,1191,15,3
AL001,2016-05-23T00:00:00,24.69,20.5691666666667,17.33,82,62.3825,41.11,1.1857026,0,26.55,8.67816666666667,0,636,798,0,0,2
AL001,2016-05-24T00:00:00,26.68,19.8033333333333,14.66,86.9,72.5,44.85,1.05068175,0,25.2,7.602125,0,406,302,712,7,3
AL001,2016-05-25T00:00:00,26.75,20.89875,17.36,92.4,73.8333333333333,47.55,1.1723043,0,24.75,9.214625,0,0,10,1394,18,3
AL001,2016-05-26T00:00:00,24.72,20.6120833333333,16.45,89.2,72.7770833333334,52.82,1.21480635,0,22.05,5.751875,0,296,323,804,10,3
AL001,2016-05-27T00:00:00,25.3,20.5908333333333,15.81,93,72.7358333333333,53.01,1.19998995,0,24.75,7.09345833333333,0,79,308,1005,33,3
AL001,2016-05-28T00:00:00,26.82,20.6495833333333,16.95,87.7,67.8558333333333,35.47,1.07082765,0.2,45,11.8982916666667,0,0,52,1312,64,3
AL001,2016-05-29T00:00:00,22.84,18.6195833333333,12.97,92.8,69.0379166666667,46.89,1.25031885,0,34.2,8.84941666666667,0,59,84,1259,21,3
AL001,2016-05-30T00:00:00,24.08,19.05125,13.04,85.8,64.8533333333333,41.67,1.2310791,0,22.5,6.95345833333333,0,304,134,974,11,3
AL001,2016-05-31T00:00:00,27.69,21.0629166666667,14.22,96.8,55.7979166666667,20.95,1.24563315,0,22.95,5.23129166666667,0,338,320,766,4,3
AL001,2016-06-01T00:00:00,28.84,22.0754166666667,14.32,65.01,40.7508333333333,23.09,1.2779748,0,22.95,5.26304166666667,0,608,182,609,28,3
AL001,2016-06-02T00:00:00,29.65,22.77625,15.44,62.08,39.2208333333333,20.31,1.23715515,0,17.1,5.456375,0,898,520,19,0,2
AL001,2016-06-03T00:00:00,25.8,21.3833333333333,17.36,80.2,53.6141666666667,36.59,1.1743734,0,25.65,7.915125,0,371,142,902,11,3
AL001,2016-06-04T00:00:00,25.16,21.2191666666667,16.68,91,68.87,52.2,1.23565635,0,27,6.09375,0,164,388,873,5,3
AL001,2016-06-05T00:00:00,30.25,23.0916666666667,16.52,83.6,55.555,22.71,1.24856295,0,23.85,6.278125,0,528,690,218,0,3
AL001,2016-06-06T00:00:00,30.89,23.9691666666667,15.74,86.8,53.2775,25.97,1.2478284,0,17.55,4.80333333333333,0,642,557,235,2,3
AL001,2016-06-07T00:00:00,28.91,23.89125,17.06,88.7,51.96125,31.15,1.26180375,0,28.35,9.05895833333333,0,751,652,37,0,3
AL001,2016-06-08T00:00:00,31.3,25.1025,19.01,86.4,54.325,25.51,1.2226656,0,18,6.02233333333333,0,580,525,326,1,3
AL001,2016-06-09T00:00:00,30.59,24.5941666666667,18.37,86.8,60.0895833333333,33.49,1.17729945,0,23.4,6.95475,0,227,125,1066,9,3
AL001,2016-06-10T00:00:00,27.76,23.2191666666667,19.85,94.6,74.9279166666667,56.62,1.1352936,0,24.3,7.41804166666666,0,104,132,1185,7,3
AL001,2016-06-11T00:00:00,29.51,24.1220833333333,18.78,89.9,68.2254166666667,47.6,1.1549931,0,16.65,4.88154166666667,0,456,682,283,15,3
AL001,2016-06-12T00:00:00,30.02,23.79,19.42,85.6,68.1375,45.96,1.05022425,0,20.25,5.753375,0,267,265,884,12,3
AL001,2016-06-13T00:00:00,32.48,25.1475,18.17,96.1,64.2516666666667,30.77,1.2550134,0,23.85,6.96483333333333,0,21,64,1142,193,4
AL001,2016-06-14T00:00:00,33.22,27.6029166666667,21.74,78.36,50.5575,27.56,1.2531186,0,18,5.743625,0,331,243,820,31,3
AL001,2016-06-15T00:00:00,26.24,22.3695833333333,18.44,85.4,66.7741666666667,40.8,1.2384264,0.4,46.35,13.0838333333333,0,136,45,1179,63,3
AL001,2016-06-16T00:00:00,25.27,19.8491666666667,16.58,83,63.0125,32.82,1.21537605,0,29.7,9.48475,0,3,38,1363,23,3
AL001,2016-06-17T00:00:00,26.64,20.7054166666667,-57.52,88,57.6666666666667,29.33,1.2683172,0,22.05,6.230375,0,277,186,895,62,3
AL001,2016-06-18T00:00:00,27.56,21.4395833333333,14.66,96.4,61.5820833333334,28.15,1.22230395,0,21.15,6.374875,0,90,535,649,153,4
AL001,2016-06-19T00:00:00,27.59,22.7666666666667,17.73,82.4,51.5054166666667,30.17,1.2375843,0,17.55,6.16879166666667,0,121,868,407,34,3
AL001,2016-06-20T00:00:00,27.25,21.8970833333333,15.37,76.24,54.0458333333333,30.1,1.2553599,0,19.35,5.60229166666667,0,334,1033,67,1,2
AL001,2016-06-21T00:00:00,27.42,22.51,16.95,84.2,50.8633333333333,26.97,1.2846333,0,29.7,11.3250833333333,0.45,349,1088,0,0,2
AL001,2016-06-22T00:00:00,30.05,24.8204166666667,20.26,62.46,34.895,22.3,1.2944964,0,29.25,12.34275,2.7,800,639,0,0,2
AL001,2016-06-23T00:00:00,30.12,25.2166666666667,20.56,79.72,44.8945833333333,25.02,1.23880125,0,20.25,5.37391666666667,0,165,990,257,24,3
AL001,2016-06-24T00:00:00,31.84,23.5891666666667,16.95,96.7,67.41625,33.58,1.0893219,0,21.15,5.46816666666667,0,391,187,836,14,3
AL001,2016-06-25T00:00:00,31.27,24.3333333333333,18.04,77.55,55.4054166666667,21.05,1.169502,0,21.15,6.05983333333333,0,381,43,927,78,3
AL001,2016-06-26T00:00:00,28.94,24.1804166666667,20.96,81.7,69.92125,55.61,0.932289,0,24.75,8.94029166666667,0,332,932,131,40,3
